timestamp_utc,timestamp_local,date_local,year,month,day,doy,hour_utc,hour_local,dow_local,day_name,is_weekend,season,is_dst,timestamp_repaired,generation_ng_mwh,generation_col_mwh,generation_nuc_mwh,generation_oth_mwh,generation_sun_mwh,generation_wat_mwh,generation_wnd_mwh,demand_coas_mwh,demand_east_mwh,demand_fwes_mwh,demand_ncen_mwh,demand_nrth_mwh,demand_scen_mwh,demand_sout_mwh,demand_west_mwh,interchange_cen_mwh,net_generation_mwh,total_interchange_mwh,demand_mwh,interchange_swpp_mwh,day_ahead_demand_forecast_mwh,dfw_demand_mwh,dfw_share_of_ercot,renewable_gen_mwh,renewable_share,net_load_mwh,forecast_error_mwh,abs_pct_error
2019-05-27 06:00:00,2019-05-27 01:00:00,2019-05-27,2019,5,27,147,6,1,1,Monday,0,Spring,1,0,12805,8091,3828,22,0,222,16159,12017,1467,3231,12432,845,6294,3313,1451,313,41129,149,40980,-164,41297,12432,0.30337,16381,0.39973,24821,317,0.7735
2019-05-27 07:00:00,2019-05-27 02:00:00,2019-05-27,2019,5,27,147,7,2,1,Monday,0,Spring,1,0,11556,7245,3829,25,0,268,15882,11416,1401,3231,11662,794,5893,3114,1361,192,38805,-20,38825,-212,39007,11662,0.30037,16150,0.41597,22943,182,0.4688
2019-05-27 08:00:00,2019-05-27 03:00:00,2019-05-27,2019,5,27,147,8,3,1,Monday,0,Spring,1,0,10709,6364,3829,24,0,276,16194,11016,1345,3256,11164,773,5621,3012,1246,170,37396,-7,37403,-178,37325,11164,0.29848,16470,0.44034,21209,-78,0.2085
2019-05-27 09:00:00,2019-05-27 04:00:00,2019-05-27,2019,5,27,147,9,4,1,Monday,0,Spring,1,0,10538,6046,3829,23,0,275,15675,10807,1316,3266,10768,752,5416,2930,1196,129,36386,-46,36431,-175,36498,10768,0.29557,15950,0.43781,20756,67,0.1839
2019-05-27 10:00:00,2019-05-27 05:00:00,2019-05-27,2019,5,27,147,10,5,1,Monday,0,Spring,1,0,11035,6262,3829,23,0,239,14512,10794,1294,3238,10565,739,5366,2891,1176,56,35902,-158,36059,-213,35961,10565,0.29299,14751,0.40908,21547,-98,0.2718
2019-05-27 11:00:00,2019-05-27 06:00:00,2019-05-27,2019,5,27,147,11,6,1,Monday,0,Spring,1,0,11828,6505,3830,27,0,160,13808,10867,1318,3151,10587,748,5450,2929,1252,56,36158,-158,36315,-213,35844,10587,0.29153,13968,0.38463,22507,-471,1.297
2019-05-27 12:00:00,2019-05-27 07:00:00,2019-05-27,2019,5,27,147,12,7,1,Monday,0,Spring,1,0,12342,6374,3832,25,0,143,13553,10770,1311,3146,10646,750,5572,2993,1283,62,36270,-197,36466,-259,36076,10646,0.29194,13696,0.37558,22913,-390,1.0695
2019-05-27 13:00:00,2019-05-27 08:00:00,2019-05-27,2019,5,27,147,13,8,1,Monday,0,Spring,1,0,12896,6384,3832,24,135,143,13369,10866,1320,3142,10774,754,5660,3049,1295,131,36782,-122,36903,-252,36386,10774,0.29195,13647,0.36981,23399,-517,1.401
2019-05-27 14:00:00,2019-05-27 09:00:00,2019-05-27,2019,5,27,147,14,9,1,Monday,0,Spring,1,0,14005,6916,3832,23,656,151,13638,11636,1452,3179,11515,796,5966,3288,1324,196,39220,-20,39239,-216,38429,11515,0.29346,14445,0.36813,24945,-810,2.0643
2019-05-27 15:00:00,2019-05-27 10:00:00,2019-05-27,2019,5,27,147,15,10,1,Monday,0,Spring,1,0,15249,7092,3832,25,1143,183,15367,12715,1577,3251,12613,912,6495,3651,1369,199,42889,207,42682,8,41487,12613,0.29551,16693,0.3911,26172,-1195,2.7998
2019-05-27 16:00:00,2019-05-27 11:00:00,2019-05-27,2019,5,27,147,16,11,1,Monday,0,Spring,1,0,17542,8413,3832,26,1437,263,15176,13720,1710,3376,13832,964,7055,4029,1388,249,46686,529,46157,280,44702,13832,0.29967,16876,0.36562,29544,-1455,3.1523
2019-05-27 17:00:00,2019-05-27 12:00:00,2019-05-27,2019,5,27,147,17,12,1,Monday,0,Spring,1,0,19698,10352,3831,31,1469,282,14001,14584,1811,3487,14807,1012,7553,4358,1385,244,49663,592,49070,348,47709,14807,0.30175,15752,0.32101,33600,-1361,2.7736
